gwb_code,year,a_inw,a_man,a_vrouw,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,bev_dich,a_lan_ha
WK036300,2021,4520,2485,2040,3180,2155.0,780.0,245.0,12914,35
WK036301,2021,4025,2230,1800,2880,1950.0,745.0,180.0,7060,57
WK036302,2021,6365,3330,3030,4095,2520.0,1085.0,490.0,14147,45
WK036303,2021,5380,2920,2465,3360,2015.0,895.0,450.0,10350,52
WK036304,2021,9630,5000,4625,6280,3970.0,1460.0,850.0,13561,71
WK036305,2021,9175,4615,4555,5645,3375.0,1330.0,940.0,16678,55
WK036306,2021,19405,9835,9565,12935,8480.0,2815.0,1640.0,23380,83
WK036307,2021,7330,3775,3555,4600,2775.0,1200.0,625.0,13088,56
WK036308,2021,7545,3890,3650,4585,2900.0,1085.0,610.0,9671,78
WK036309,2021,13715,6965,6745,8065,4860.0,1675.0,1525.0,13852,99
WK036310,2021,145,85,60,120,100.0,5.0,10.0,7,2010
WK036311,2021,860,530,325,745,645.0,85.0,10.0,119,720
WK036312,2021,3685,1910,1775,1765,710.0,510.0,545.0,11176,33
WK036313,2021,10655,5280,5375,6210,3680.0,1245.0,1285.0,7777,137
WK036314,2021,12910,6425,6480,7885,4665.0,1760.0,1465.0,27464,47
WK036315,2021,2415,1160,1260,1270,635.0,275.0,360.0,4648,52
WK036316,2021,8270,4180,4090,5135,3115.0,1245.0,775.0,22975,36
WK036317,2021,4650,2320,2325,2890,1675.0,785.0,430.0,21132,22
WK036318,2021,6735,3445,3295,3895,2270.0,1010.0,620.0,26956,25
WK036319,2021,6955,3435,3525,4485,2900.0,910.0,675.0,27824,25
WK036320,2021,7455,3670,3790,4505,2615.0,1115.0,785.0,21929,34
WK036321,2021,7920,3830,4090,4800,2765.0,1245.0,790.0,26403,30
WK036322,2021,1775,915,855,965,535.0,240.0,195.0,8064,22
WK036323,2021,3935,2100,1835,2570,1660.0,550.0,355.0,1854,212
WK036324,2021,14630,7370,7260,9655,6125.0,2330.0,1205.0,23222,63
WK036325,2021,12375,5955,6425,7905,4805.0,1960.0,1135.0,24267,51
WK036326,2021,8080,3850,4235,4740,2710.0,970.0,1055.0,23083,35
WK036327,2021,5915,2985,2930,3670,2220.0,875.0,575.0,15995,37
WK036328,2021,10625,5265,5360,6315,3705.0,1410.0,1200.0,14758,72
WK036329,2021,10045,4895,5150,5665,3270.0,1200.0,1190.0,17025,59
WK036330,2021,9100,4440,4660,4950,2645.0,1115.0,1195.0,24600,37
WK036331,2021,12515,6215,6300,7000,3800.0,1640.0,1565.0,26634,47
WK036332,2021,9755,4855,4900,5150,2725.0,1130.0,1295.0,10376,94
WK036333,2021,18755,9470,9290,9570,4120.0,2680.0,2770.0,12180,154
WK036334,2021,4985,2460,2525,2985,1770.0,660.0,555.0,2010,248
WK036335,2021,15705,7845,7860,6390,2075.0,1260.0,3055.0,14021,112
WK036336,2021,510,285,225,300,150.0,110.0,40.0,426,120
WK036337,2021,18935,9290,9650,10380,5460.0,2525.0,2400.0,18566,102
WK036338,2021,5840,2765,3070,3345,1715.0,1000.0,635.0,16217,36
WK036339,2021,11020,5530,5495,5555,2955.0,1125.0,1470.0,15306,72
WK036340,2021,6770,3280,3485,3995,2195.0,1085.0,715.0,24168,28
WK036341,2021,8245,4555,3695,3345,1915.0,820.0,615.0,28434,29
WK036342,2021,10345,5135,5215,6010,3340.0,1500.0,1165.0,25868,40
WK036343,2021,6835,3225,3610,3905,1970.0,1150.0,785.0,21363,32
WK036344,2021,11775,5465,6315,6965,3745.0,1905.0,1315.0,13858,85
WK036345,2021,3985,1905,2080,2535,1550.0,625.0,365.0,13741,29
WK036346,2021,5565,2735,2835,2670,1165.0,660.0,850.0,8700,64
WK036347,2021,12535,6140,6395,6790,3500.0,1750.0,1535.0,9567,131
WK036348,2021,11865,5615,6250,6790,3635.0,1575.0,1580.0,12360,96
WK036349,2021,8500,4085,4415,3935,1620.0,940.0,1370.0,9659,88
WK036350,2021,70,40,35,25,5.0,5.0,15.0,178,40
WK036351,2021,8155,3970,4185,3135,1010.0,485.0,1640.0,12356,66
WK036352,2021,14835,6930,7905,8190,4150.0,2165.0,1870.0,14985,99
WK036353,2021,5220,2500,2720,3225,1885.0,775.0,565.0,20092,26
WK036354,2021,9080,4275,4810,5650,3310.0,1370.0,970.0,9365,97
WK036355,2021,11895,5970,5925,6685,4040.0,1330.0,1315.0,7527,158
WK036356,2021,15535,7450,8085,8370,4400.0,1865.0,2100.0,5490,283
WK036357,2021,3135,1465,1675,1875,1070.0,390.0,415.0,2878,109
WK036358,2021,5250,2735,2515,3380,2145.0,880.0,355.0,1842,285
WK036359,2021,1380,645,735,655,285.0,165.0,205.0,3632,38
WK036360,2021,9445,4665,4780,4920,2455.0,900.0,1570.0,7936,119
WK036361,2021,8135,4110,4025,4395,2395.0,850.0,1155.0,6838,119
WK036362,2021,3485,1595,1890,1825,835.0,420.0,565.0,8107,43
WK036363,2021,1895,910,985,930,385.0,210.0,330.0,11153,17
WK036364,2021,1670,820,845,645,155.0,195.0,295.0,4631,36
WK036365,2021,12010,5785,6225,5675,2410.0,1240.0,2025.0,7555,159
WK036366,2021,8855,4355,4500,4025,1565.0,930.0,1530.0,3501,253
WK036367,2021,3505,1670,1835,1395,350.0,375.0,675.0,2597,135
WK036368,2021,13560,6625,6940,6095,2670.0,1170.0,2250.0,9551,142
WK036369,2021,11185,5365,5820,5995,3315.0,1240.0,1440.0,7408,151
WK036370,2021,14815,7235,7580,6695,2955.0,1310.0,2430.0,8924,166
WK036371,2021,5815,3110,2705,3660,2250.0,865.0,540.0,2326,250
WK036372,2021,250,165,85,185,140.0,30.0,10.0,366,68
WK036373,2021,2415,1240,1175,1005,320.0,275.0,410.0,97,2477
WK036374,2021,3855,2035,1815,1840,930.0,285.0,620.0,4701,82
WK036375,2021,6095,2980,3120,3225,1605.0,760.0,860.0,24396,25
WK036376,2021,9215,4765,4450,4425,2240.0,760.0,1420.0,9599,96
WK036377,2021,17795,9045,8750,8640,4425.0,1470.0,2745.0,7909,225
WK036378,2021,16345,8255,8085,6885,2880.0,1215.0,2785.0,12383,132
WK036379,2021,2445,1205,1240,1025,310.0,285.0,425.0,1116,219
WK036380,2021,1190,660,530,400,165.0,105.0,130.0,223,533
WK036381,2021,17150,8440,8715,9085,4890.0,1880.0,2320.0,10854,158
WK036382,2021,15380,7585,7795,6970,3185.0,1275.0,2515.0,14933,103
WK036383,2021,6170,3215,2955,2785,1405.0,495.0,890.0,10283,60
WK036384,2021,14290,7025,7260,5930,1960.0,1345.0,2630.0,9463,151
WK036385,2021,8090,4030,4060,3760,1650.0,820.0,1285.0,7286,111
WK036386,2021,14335,7000,7335,7490,4165.0,1515.0,1810.0,9887,145
WK036387,2021,11395,5945,5455,7140,4595.0,1530.0,1020.0,8084,141
WK036388,2021,14145,6975,7170,6325,2160.0,1800.0,2365.0,3029,467
WK036389,2021,10730,5205,5530,5650,3190.0,975.0,1485.0,8585,125
WK036390,2021,13565,6390,7175,7710,4320.0,1745.0,1650.0,4759,285
WK036391,2021,7965,3770,4190,4530,2615.0,1020.0,890.0,5206,153
WK036392,2021,1625,760,860,1465,1365.0,85.0,10.0,326,498
WK036393,2021,24565,12505,12060,14085,8830.0,1810.0,3445.0,8106,303
WK036394,2021,29840,15040,14800,15595,8365.0,2385.0,4840.0,8066,370
WK036395,2021,3065,1605,1460,1840,1045.0,430.0,365.0,1400,219
WK036396,2021,18120,8695,9420,9090,4500.0,1520.0,3065.0,6968,260
WK036397,2021,11235,5580,5650,5555,2530.0,1125.0,1895.0,6139,183
WK036398,2021,1630,780,845,685,200.0,190.0,295.0,930,175
WK036300,2020,4465,2465,2000,3195,2230.0,730.0,240.0,12784,35
WK036301,2020,4130,2260,1875,2950,2010.0,745.0,190.0,7236,57
WK036302,2020,6435,3370,3065,4140,2550.0,1080.0,510.0,14380,45
WK036303,2020,5435,2930,2505,3385,2055.0,865.0,460.0,10463,52
WK036304,2020,9710,5060,4645,6405,4165.0,1410.0,830.0,13652,71
WK036305,2020,9275,4645,4630,5675,3380.0,1325.0,970.0,16948,55
WK036306,2020,19400,9840,9565,12945,8505.0,2770.0,1670.0,23247,83
WK036307,2020,7295,3775,3525,4565,2760.0,1155.0,650.0,13122,56
WK036308,2020,7480,3890,3590,4560,2950.0,1005.0,610.0,9633,78
WK036309,2020,13690,6965,6720,8045,4810.0,1670.0,1565.0,13870,99
WK036310,2020,105,70,35,70,55.0,5.0,10.0,5,2010
WK036311,2020,835,480,355,705,595.0,100.0,10.0,116,720
WK036312,2020,2950,1515,1430,1490,645.0,415.0,430.0,8989,33
WK036313,2020,10780,5360,5420,6260,3705.0,1240.0,1315.0,7890,137
WK036314,2020,13105,6550,6550,7980,4750.0,1725.0,1505.0,27685,47
WK036315,2020,2465,1170,1295,1305,665.0,260.0,375.0,4741,52
WK036316,2020,8280,4160,4125,5155,3180.0,1180.0,795.0,23076,36
WK036317,2020,4660,2350,2305,2900,1715.0,740.0,445.0,21439,22
WK036318,2020,6670,3375,3295,3940,2405.0,920.0,615.0,26452,25
WK036319,2020,7085,3525,3560,4550,2955.0,895.0,695.0,28378,25
WK036320,2020,7360,3590,3770,4435,2575.0,1075.0,785.0,21968,34
WK036321,2020,8010,3920,4085,4810,2750.0,1260.0,810.0,26868,30
WK036322,2020,1770,910,855,970,565.0,200.0,200.0,8163,22
WK036323,2020,3950,2120,1830,2630,1745.0,540.0,350.0,1864,212
WK036324,2020,14820,7460,7360,9765,6240.0,2270.0,1260.0,23344,63
WK036325,2020,12435,6000,6435,7940,4895.0,1850.0,1195.0,24213,51
WK036326,2020,8195,3900,4295,4840,2820.0,945.0,1080.0,23213,35
WK036327,2020,5895,2970,2925,3665,2235.0,845.0,580.0,15947,37
WK036328,2020,10880,5425,5455,6480,3865.0,1360.0,1255.0,15061,72
WK036329,2020,10225,5025,5200,5780,3390.0,1190.0,1200.0,17219,59
WK036330,2020,9230,4530,4705,5075,2790.0,1065.0,1220.0,25008,37
WK036331,2020,12530,6240,6285,6985,3810.0,1610.0,1570.0,26742,47
WK036332,2020,9920,4960,4955,5195,2760.0,1095.0,1340.0,10557,94
WK036333,2020,18925,9555,9370,9660,4245.0,2605.0,2810.0,12255,154
WK036334,2020,4705,2340,2360,2885,1745.0,650.0,490.0,1899,248
WK036335,2020,15730,7870,7860,6430,2145.0,1275.0,3010.0,14016,112
WK036336,2020,540,300,235,310,165.0,100.0,40.0,448,120
WK036337,2020,19055,9415,9640,10435,5570.0,2420.0,2445.0,18647,102
WK036338,2020,5870,2810,3055,3375,1770.0,945.0,655.0,16186,36
WK036339,2020,10725,5350,5375,5495,3035.0,1040.0,1415.0,14881,72
WK036340,2020,6845,3360,3490,4035,2235.0,1070.0,730.0,24844,28
WK036341,2020,7685,4140,3545,3405,1990.0,770.0,640.0,26651,29
WK036342,2020,10435,5210,5220,6115,3485.0,1460.0,1170.0,26131,40
WK036343,2020,6960,3305,3655,3970,2035.0,1115.0,825.0,21845,32
WK036344,2020,11865,5505,6360,7065,3885.0,1845.0,1335.0,13979,85
WK036345,2020,3960,1870,2095,2510,1535.0,580.0,395.0,13667,29
WK036346,2020,5515,2740,2775,2635,1130.0,660.0,835.0,8636,64
WK036347,2020,12625,6235,6385,6820,3550.0,1685.0,1585.0,9609,131
WK036348,2020,11925,5615,6310,6845,3695.0,1525.0,1625.0,12456,96
WK036349,2020,8535,4040,4500,3965,1670.0,940.0,1355.0,9655,88
WK036350,2020,0,0,0,0,0.0,0.0,0.0,.,40
WK036351,2020,8265,4010,4255,3155,980.0,530.0,1650.0,12467,66
WK036352,2020,14995,6945,8045,8370,4385.0,2080.0,1905.0,15158,99
WK036353,2020,5290,2525,2765,3275,1935.0,770.0,570.0,20649,26
WK036354,2020,9160,4300,4860,5720,3385.0,1330.0,1005.0,9490,97
WK036355,2020,11640,5820,5815,6520,3950.0,1290.0,1280.0,7356,158
WK036356,2020,15790,7540,8250,8515,4540.0,1835.0,2145.0,5572,283
WK036357,2020,3230,1505,1730,1935,1100.0,405.0,425.0,2971,109
WK036358,2020,5080,2615,2465,3410,2280.0,830.0,305.0,1785,285
WK036359,2020,1345,625,720,670,335.0,150.0,190.0,3509,38
WK036360,2020,9565,4720,4845,5025,2530.0,940.0,1555.0,8005,119
WK036361,2020,8255,4170,4085,4440,2425.0,820.0,1195.0,6964,119
WK036362,2020,3540,1630,1910,1840,815.0,445.0,580.0,8238,43
WK036363,2020,1885,905,980,930,390.0,210.0,325.0,11182,17
WK036364,2020,1655,820,840,635,150.0,185.0,300.0,4622,36
